Song Name,Artist Name
lovin on me,Jack Harlow
lil boo thang,Paul Russell
i remember everything (feat. kacey musgraves),Zach Bryan
white horse,Chris Stapleton
save me (with lainey wilson),Jelly Roll
need a favor,Jelly Roll
houdini,Dua Lipa
90s rap mashup,Austin Williams
cruel summer,Taylor Swift
lose control,Teddy Swims
standing next to you,Jung Kook
daylight,David Kushner
lovin on me,Jack Harlow
thinkin’ bout me,Morgan Wallen
all i want for christmas is you,Mariah Carey
wrap me up,Jimmy Fallon & Meghan Trainor
christmas / sarajevo 12/24 (instrumental),Trans-Siberian Orchestra
3d,Jung Kook & Jack Harlow
standing next to you (band version),Jung Kook
standing next to you (future funk remix),Jung Kook
fast car,Luke Combs
paint the town red,Doja Cat
standing next to you (holiday remix),Jung Kook
where the wild things are,Luke Combs
standing next to you (slow jam remix),Jung Kook
standing next to you (pbr&b remix),Jung Kook
standing next to you (instrumental),Jung Kook
standing next to you (latin trap remix),Jung Kook
flyin' pass (single),Caldwell
water,Tyla
last night,Morgan Wallen
greedy,Tate McRae
rockin' around the christmas tree (single),Brenda Lee
fairytale of philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
now and then,The Beatles
lover,Taylor Swift
is it over now? (taylor's version) [from the vault],Taylor Swift
rich men north of richmond,Oliver Anthony Music
sin so sweet,Warren Zeiders
to be a man (feat. darius rucker),Dax
don’t blame me,Taylor Swift
wild ones (extended version),Jessie Murph & Jelly Roll
seven (explicit ver.),Jung Kook & Latto
anti-hero,Taylor Swift
the painter,Cody Johnson
snowman,Sia
love story (taylor’s version),Taylor Swift
the christmas song (merry christmas to you),"Nat ""King"" Cole"
can’t catch me now (from the hunger games: the ballad of songbirds & snakes),Olivia Rodrigo
used to be young,Miley Cyrus
better place (from trolls band together),*NSYNC & Justin Timberlake
karma,Taylor Swift
tennessee whiskey,Chris Stapleton
monaco,Bad Bunny
you belong with me (taylor’s version),Taylor Swift
save me,Jelly Roll
evil ways (feat. j. cole),Drake
fancy like christmas,Walker Hayes
fairytale of philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
flowers,Miley Cyrus
unstoppable,Sia
style (taylor's version),Taylor Swift
wizards in winter (instrumental),Trans-Siberian Orchestra
calm down,Rema & Selena Gomez
dance the night,Dua Lipa
dial drunk,Noah Kahan & Post Malone
last christmas (single version),Wham!
watermelon moonshine,Lainey Wilson
exes,Tate McRae
islands in the stream,Dolly Parton & Kenny Rogers
white christmas,Bing Crosby
son of a sinner,Jelly Roll
paper rings,Taylor Swift
good good,"USHER, Summer Walker & 21 Savage"
look what you made me do,Taylor Swift
truck bed,HARDY
let it be (feat. paul mccartney & ringo starr),Dolly Parton
presha,2 Chainz & Lil Wayne
something in the orange (z&e's version),Zach Bryan
one more time,blink-182
world on fire,Nate Smith
"what was i made for? [from the motion picture ""barbie""]",Billie Eilish
blank space (taylor's version),Taylor Swift
a mad russian's christmas (instrumental),Trans-Siberian Orchestra
...ready for it?,Taylor Swift
the chipmunk song (christmas don't be late),Alvin & The Chipmunks
dirt cheap,Cody Johnson
religiously,Bailey Zimmerman
you broke my heart,Drake
out of this world,Cody Webb
gobble gobble,Matthew West
the thanksgiving song,Adam Sandler
pretty little poison,Warren Zeiders
oral,Björk & ROSALÍA
agora hills,Doja Cat
23,Chayce Beckham
this wish,Ariana DeBose & Disney
everything i love,Morgan Wallen
g6,2 Chainz & Lil Wayne
a lot more free,Max McNown
gasolina,Daddy Yankee
doo wop (that thing),Lauryn Hill
idioteque,Radiohead
tiny dancer,Elton John
paper planes,M.I.A.
alright,Kendrick Lamar
billie jean,Michael Jackson
my girl,The Temptations
redemption song,Bob Marley and the Wailers
love will tear us apart,Joy Division
all along the watchtower,The Jimi Hendrix Experience
b.o.b.,Outkast
(sittin on) the dock of the bay,Otis Redding
when doves cry,Prince and the Revolution
seven nation army,The White Stripes
tutti-frutti,Little Richard
papas got a brand new bag,James Brown
johnny b. goode,Chuck Berry
juicy,Notorious B.I.G.
(i cant get no) satisfaction,The Rolling Stones
royals,Lorde
nuthin but a g thang,Dr. Dre feat. Snoop Doggy Dogg
once in a lifetime,Talking Heads
born to run,Bruce Springsteen
a case of you,Joni Mitchell
runaway,Kanye West feat. Pusha T
a day in the life,The Beatles
heroes,David Bowie
be my baby,The Ronettes
strange fruit,Billie Holiday
dancing on my own,Robyn
imagine,John Lennon
purple rain,Prince and the Revolution
bohemian rhapsody,Queen
crazy in love,Beyoncé feat. Jay-Z
i want to hold your hand,The Beatles
waterloo sunset,The Kinks
gimme shelter,The Rolling Stones
superstition,Stevie Wonder
god only knows,The Beach Boys
hey ya!,Outkast
dreams,Fleetwood Mac
get ur freak on,Missy Elliott
strawberry fields forever,The Beatles
whats going on,Marvin Gaye
smells like teen spirit,Nirvana
like a rolling stone,Bob Dylan
a change is gonna come,Sam Cooke
fight the power,Public Enemy
respect,Aretha Franklin
